1,51,78060 Bellgrove Lane
2,10,5 Becker Hill
3,38,513 Westerfield Plaza
4,100,230 Declaration Center
5,86,2317 Schiller Alley
6,61,2225 Schmedeman Trail
7,18,15281 Emmet Avenue
8,68,75983 Dayton Circle
9,70,8 Bay Parkway
10,51,0 Clove Center
11,30,381 Crownhardt Point
12,64,80 Merchant Alley
13,35,89516 Shoshone Circle
14,48,725 Nevada Hill
15,6,0 Fulton Pass
16,77,928 Oak Valley Pass
17,19,53479 Heath Drive
18,34,7602 Prairieview Circle
19,33,697 Derek Trail
20,77,065 Talmadge Parkway
21,19,36845 Ridgeway Terrace
22,89,4 Shopko Circle
23,15,304 Becker Parkway
24,79,475 Hermina Terrace
25,1,6281 Monica Drive
26,87,6764 Cordelia Hill
27,57,46070 Myrtle Way
28,17,1 Stuart Junction
29,1,30 Charing Cross Center
30,10,5455 Brentwood Alley
31,4,90583 Red Cloud Road
32,20,6 Gulseth Hill
33,44,01622 Birchwood Park
34,89,512 Dovetail Street
35,69,771 Prairieview Junction
36,85,87414 Little Fleur Hill
37,39,92412 Brickson Park Point
38,94,67 Service Avenue
39,17,0 Delaware Circle
40,69,56889 Thompson Parkway
41,21,98 Granby Circle
42,24,46 Waywood Terrace
43,74,6 Bonner Junction
44,62,86 Union Drive
45,25,346 Menomonie Parkway
46,70,74493 Heath Avenue
47,78,06511 Nancy Trail
48,43,6677 Pond Drive
49,19,8454 Troy Pass
50,32,89 Macpherson Court
51,12,9 Hoard Road
52,86,56141 Kennedy Drive
53,66,4 Texas Circle
54,48,9 Hagan Pass
55,31,76 Marquette Alley
56,74,54 Northland Center
57,73,5616 Ryan Drive
58,57,1155 Harper Plaza
59,98,0 Brown Junction
60,84,29 Thierer Lane
61,16,3865 Anzinger Alley
62,9,3985 Orin Street
63,74,1807 John Wall Drive
64,79,698 Marquette Way
65,97,50 Hoffman Lane
66,19,4482 Pleasure Alley
67,46,0725 Bowman Alley
68,75,75389 Fallview Way
